Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Alcohol Percentage,Price,Awards,Palate,Finish,Nose
Glen Scotia Double Cask,Glen Scotia,Campbeltown Whisky,Glen Scotia,Scotch Whisky,4,(69 Reviews),"(70cl, 46%)",39.95,7,"Opens with more fudge with a little dusting of powdered sugar. Powerful, oily and a touch herbaceous with some German brandy character.",Sherried notes come through more on the finish.,"Vibrant fruit emerges first (peach flesh and green apple peels), followed by chewy vanilla fudge, a hint of salinity, then an array of oak-y spices including some char."
Glenfarclas 10 Year Old,Glenfarclas,Speyside Whisky,Glenfarclas,Scotch Whisky,4,(37 Reviews),"(70cl, 40%)",35.99,4,"Delicious sherry sweetness and dried fruits, with complex, delicate winter spices and fruitcake. Light toffee, and a hint of smoke.","Long, smooth, spicy and fruity, with a touch of oak.","Lots of juicy, sweet, sherry notes combined with malt and barley. Creamy hints of toffee give way to delicate honey, vanilla, and orchard fruits."
Fresh Copper,Fresh Copper,Speyside Whisky,Fresh Copper,Scotch Whisky,5,(1 Review),"(70cl, 55.5%)",59.95,0,"Crisp layers of sweet pastry and cinnamon sugar are enveloped with creamy vanilla and cooked orchard fruits. Tannic oak develops in time, joined by sweet dulce de leche.","Boiled sweeties arrive for the finish, alongside dried red berries and fruit tea. Woody spice nestles beneath, with robust, meaty barley and chewy toffee in tow.","Rich red apple, vibrant roasted malt, and plum sponge, drizzled with honey are backed by simnel cake and a touch of damp oak."
Teeling Pineapple Rum Cask,Teeling,Irish Whiskey,Teeling,Irish Whiskey,4.5,(3 Reviews),"(70cl, 49.2%)",45.95,0,"Nose: Fruity right away with crushed pineapple and a touch of citrus leading to floral vanilla and syrupy sponge cake.
Palate: Meaty malt and creamy grain mingle, bringing sweet vanilla, fresh stone fruits, and a hint of herbal grist, before earthy charred oak and tangy caramelised pineapples join.
Finish: Bittersweet citrus kicks in towards the finish, tangling with prickles of cracked pepper and aromatic oak. Burnt sugar, juicy pineapple, and earthen vanilla pod linger amongst the spice.","Nose: Fruity right away with crushed pineapple and a touch of citrus leading to floral vanilla and syrupy sponge cake.
Palate: Meaty malt and creamy grain mingle, bringing sweet vanilla, fresh stone fruits, and a hint of herbal grist, before earthy charred oak and tangy caramelised pineapples join.
Finish: Bittersweet citrus kicks in towards the finish, tangling with prickles of cracked pepper and aromatic oak. Burnt sugar, juicy pineapple, and earthen vanilla pod linger amongst the spice.","Nose: Fruity right away with crushed pineapple and a touch of citrus leading to floral vanilla and syrupy sponge cake.
Palate: Meaty malt and creamy grain mingle, bringing sweet vanilla, fresh stone fruits, and a hint of herbal grist, before earthy charred oak and tangy caramelised pineapples join.
Finish: Bittersweet citrus kicks in towards the finish, tangling with prickles of cracked pepper and aromatic oak. Burnt sugar, juicy pineapple, and earthen vanilla pod linger amongst the spice."
Mortlach 9 Year Old 2013 Father of Malt (Master of Malt),Mortlach,Speyside Whisky,Master of Malt,Scotch Whisky,,,"(70cl, 50%)",49.95,0,"Oily oak and juicy barley combine gloriously, with notes of malt biscuits and sawdust before waves of rum and raisin fudge and creamy vanilla join.","Cinder toffee, apple pastries, a touch of maple syrup, and heaps of buttery oak, with vanilla, a touch of marshmallow, and soft spices trailing into the distance.","Creamy porridge oats, yellow stone fruits, fruit-studded sponge cake drizzled with syrup. A touch of minerality and leather furniture follows in the distance."
Lagavulin 16 Year Old,Lagavulin,Scotch Whisky,Lagavulin,Scotch Whisky,4.5,(801 Reviews),"(70cl, 43%)",84.95,14,,,
Secret Highland Distillery 22 Year Old 1996 (Master of Malt),Master of Malt,Scotch Whisky,Master of Malt,Scotch Whisky,5,(2 Reviews),"(70cl, 54.4%)",99.95,0,"Nose: Vibrant barley and zingy candied pineapple lead the way, with prickles of anise and clove kept in check by waves of creamy vanilla and softly toasted oak.
Palate: Robust oak and peppery malt are accompanied by waves of crème caramel. Juicy peach, dried tropical fruits, and honeyed prunes follow, with chewy toffees and a touch of ginger cake.
Finish: A brilliant balance of sweetness and spice, with syrup-soaked stone fruits, toasted marzipan, and hearty oaken spice.","Nose: Vibrant barley and zingy candied pineapple lead the way, with prickles of anise and clove kept in check by waves of creamy vanilla and softly toasted oak.
Palate: Robust oak and peppery malt are accompanied by waves of crème caramel. Juicy peach, dried tropical fruits, and honeyed prunes follow, with chewy toffees and a touch of ginger cake.
Finish: A brilliant balance of sweetness and spice, with syrup-soaked stone fruits, toasted marzipan, and hearty oaken spice.","Nose: Vibrant barley and zingy candied pineapple lead the way, with prickles of anise and clove kept in check by waves of creamy vanilla and softly toasted oak.
Palate: Robust oak and peppery malt are accompanied by waves of crème caramel. Juicy peach, dried tropical fruits, and honeyed prunes follow, with chewy toffees and a touch of ginger cake.
Finish: A brilliant balance of sweetness and spice, with syrup-soaked stone fruits, toasted marzipan, and hearty oaken spice."
Glenfiddich Grand Cru 23 Year Old,Glenfiddich,Scotch Whisky,Glenfiddich,Scotch Whisky,4.5,(20 Reviews),"(70cl, 40%)",210,1,"Nose: Brioche, banana, vanilla blossom, sugared almonds, a hint of cider, lemon peel.
Palate: Melted butter on rye toast, sandalwood, peach, soft peppery hints drift in later on, with just a pinch of mint.
Finish: Flaky pastry, dry malt, pear sweetness.","Nose: Brioche, banana, vanilla blossom, sugared almonds, a hint of cider, lemon peel.
Palate: Melted butter on rye toast, sandalwood, peach, soft peppery hints drift in later on, with just a pinch of mint.
Finish: Flaky pastry, dry malt, pear sweetness.","Nose: Brioche, banana, vanilla blossom, sugared almonds, a hint of cider, lemon peel.
Palate: Melted butter on rye toast, sandalwood, peach, soft peppery hints drift in later on, with just a pinch of mint.
Finish: Flaky pastry, dry malt, pear sweetness."
The GlenDronach 18 Year Old Allardice,GlenDronach,Scotch Whisky,GlenDronach,Scotch Whisky,4.5,(80 Reviews),"(70cl, 46%)",179.99,3,"Nose: Sherry notes so thick you need a knife to cut them! There's a hint of old rum in there too, with pineapple and brown sugar in tow.
Palate: Christmas cake, rum again, chocolate-coated hazelnut, runny honey and a hint of Sauternes.
Finish: Fresh blackcurrant, blueberry pancakes with a generous helping of maple syrup.","Nose: Sherry notes so thick you need a knife to cut them! There's a hint of old rum in there too, with pineapple and brown sugar in tow.
Palate: Christmas cake, rum again, chocolate-coated hazelnut, runny honey and a hint of Sauternes.
Finish: Fresh blackcurrant, blueberry pancakes with a generous helping of maple syrup.","Nose: Sherry notes so thick you need a knife to cut them! There's a hint of old rum in there too, with pineapple and brown sugar in tow.
Palate: Christmas cake, rum again, chocolate-coated hazelnut, runny honey and a hint of Sauternes.
Finish: Fresh blackcurrant, blueberry pancakes with a generous helping of maple syrup."
Balvenie 14 Year Old Caribbean Cask,Balvenie,Scotch Whisky,Balvenie,Scotch Whisky,4,(262 Reviews),"(70cl, 43%)",65.50,9,,,
Caol Ila 12 Year Old,Caol Ila,Scotch Whisky,Caol Ila,Scotch Whisky,4,(167 Reviews),"(70cl, 43%)",46.95,4,"Nose: Fresh, herbal. Rubbed peppermint leaves, stemmy, damp grass, smoky. Oily, cigar leaves, smoked ham, hickory. Lemon peels at the harbour.
Palate: Good body, oily, tar, elegant smoke. Hints of boiled sweets.
Finish: Long, peppery, spicy warmth, smoke.","Nose: Fresh, herbal. Rubbed peppermint leaves, stemmy, damp grass, smoky. Oily, cigar leaves, smoked ham, hickory. Lemon peels at the harbour.
Palate: Good body, oily, tar, elegant smoke. Hints of boiled sweets.
Finish: Long, peppery, spicy warmth, smoke.","Nose: Fresh, herbal. Rubbed peppermint leaves, stemmy, damp grass, smoky. Oily, cigar leaves, smoked ham, hickory. Lemon peels at the harbour.
Palate: Good body, oily, tar, elegant smoke. Hints of boiled sweets.
Finish: Long, peppery, spicy warmth, smoke."
Balblair 15 Year Old,Balblair,Highland Whisky,Balblair,Scotch Whisky,4.5,(10 Reviews),"(70cl, 46%)",67.94,3,"Dried fruit and more apple, dark chocolate shavings, ginger.","Curaçao orange, dried oak, caramelised dates.","Honey-covered apple, citrus freshness, coffee and walnut cake."
GlenAllachie 15 Year Old,GlenAllachie,Speyside Whisky,GlenAllachie,Scotch Whisky,4.5,(47 Reviews),"(70cl, 46%)",66.95,0,"Walnut, raisin, Christmas spices and fresh ginger.","Coffee, Turkish delight and just a hint of flaky sea salt.","Peanut brittle, dates and a big scoop of chocolate ice cream."
Tobermory 12 Year Old,Tobermory,Scotch Whisky,Tobermory,Scotch Whisky,4.5,(47 Reviews),"(70cl, 46.3%)",46.95,2,"Nose: Pear, peach and apple, with a dusting of brown sugar. Greek yogurt, barley and a hint of cinnamon pastries.
Palate: Rounded malt notes once again, now a touch oily. Still packs a hearty helping of stone fruit sweetness.
Finish: A flash of orange peel, soft sawdust, toffee and dates.","Nose: Pear, peach and apple, with a dusting of brown sugar. Greek yogurt, barley and a hint of cinnamon pastries.
Palate: Rounded malt notes once again, now a touch oily. Still packs a hearty helping of stone fruit sweetness.
Finish: A flash of orange peel, soft sawdust, toffee and dates.","Nose: Pear, peach and apple, with a dusting of brown sugar. Greek yogurt, barley and a hint of cinnamon pastries.
Palate: Rounded malt notes once again, now a touch oily. Still packs a hearty helping of stone fruit sweetness.
Finish: A flash of orange peel, soft sawdust, toffee and dates."
Bladnoch Vinaya,Bladnoch,Lowland Whisky,Bladnoch,Scotch Whisky,5,(12 Reviews),"(70cl, 46.7%)",49.89,1,"Pears in chocolate sauce, bolstered by peppery oak, and more florals.","Black pepper, cinnamon, and cocoa linger.","Wafts of heather and lemon blossom, along with cut grass, and dried apple."
The Glenturret 12 Year Old (2022 Release),Glenturret,Highland Whisky,Glenturret,Scotch Whisky,4.5,(2 Reviews),"(70cl, 46%)",66.94,1,"Cinnamon buns with dustings of sugar are followed by plump raisins, spiced apple, and cream-filled pastries. Gingery warmth develops alongside rich toasted oak.","Dense oak brings notes of runny caramel, rich char, and more creamy vanilla, finishing up with spiced, buttered fruit loaf and a touch of zest.","Nutty barley, vanilla custard, and fruit studded biscuits, with delicate spices building in the distance."
Bunnahabhain 12 Year Old,Bunnahabhain,Scotch Whisky,Bunnahabhain,Scotch Whisky,4.5,(226 Reviews),"(70cl, 46.3%)",44.95,12,"Nose: Fresh, sweet. Seaweed, malt.
Palate: Soft, supple. Sherry, nutty. A little sweetness, malty, juicy sultana. Slightly coastal.
Finish: Sherried, mochaccino, herbal, balanced salty tang.","Nose: Fresh, sweet. Seaweed, malt.
Palate: Soft, supple. Sherry, nutty. A little sweetness, malty, juicy sultana. Slightly coastal.
Finish: Sherried, mochaccino, herbal, balanced salty tang.","Nose: Fresh, sweet. Seaweed, malt.
Palate: Soft, supple. Sherry, nutty. A little sweetness, malty, juicy sultana. Slightly coastal.
Finish: Sherried, mochaccino, herbal, balanced salty tang."
Wormtub 10 Year Old – Batch 2,Wormtub,Scotch Whisky,Wormtub,Scotch Whisky,4.5,(18 Reviews),"(70cl, 56.8%)",49.95,0,"Nose: There's a distinct forest floor note as well as layers of dark chocolate, flamed orange peel, punchy cassia, and smoky oak.
Palate: Through more sherried influence come flavours of salty jerky, caramel, tangy dried cranberries, and oily walnuts.
Finish: Long and rich.
Overall: Rich, dense, and moreish. We'd happily sit in a big ol’ tub of this.","Nose: There's a distinct forest floor note as well as layers of dark chocolate, flamed orange peel, punchy cassia, and smoky oak.
Palate: Through more sherried influence come flavours of salty jerky, caramel, tangy dried cranberries, and oily walnuts.
Finish: Long and rich.
Overall: Rich, dense, and moreish. We'd happily sit in a big ol’ tub of this.","Nose: There's a distinct forest floor note as well as layers of dark chocolate, flamed orange peel, punchy cassia, and smoky oak.
Palate: Through more sherried influence come flavours of salty jerky, caramel, tangy dried cranberries, and oily walnuts.
Finish: Long and rich.
Overall: Rich, dense, and moreish. We'd happily sit in a big ol’ tub of this."
Ledaig 10 Year Old,Tobermory,Scotch Whisky,Tobermory,Scotch Whisky,4,(108 Reviews),"(70cl, 46.3%)",42.75,17,"Nose: Quite light and well-balanced. There is a very soft peat with a gentle smoke. Notes of barley and malt extract, with walnut and pine oil and a hint of iodine, dried fruit and nuts.
Palate: Medium-bodied and quite rich. There are notes of spice and smoke gathering above the charred oak. The peat is quiet and dry with a touch of black pepper and earth.
Finish: Medium-length and slightly smoky with spice.","Nose: Quite light and well-balanced. There is a very soft peat with a gentle smoke. Notes of barley and malt extract, with walnut and pine oil and a hint of iodine, dried fruit and nuts.
Palate: Medium-bodied and quite rich. There are notes of spice and smoke gathering above the charred oak. The peat is quiet and dry with a touch of black pepper and earth.
Finish: Medium-length and slightly smoky with spice.","Nose: Quite light and well-balanced. There is a very soft peat with a gentle smoke. Notes of barley and malt extract, with walnut and pine oil and a hint of iodine, dried fruit and nuts.
Palate: Medium-bodied and quite rich. There are notes of spice and smoke gathering above the charred oak. The peat is quiet and dry with a touch of black pepper and earth.
Finish: Medium-length and slightly smoky with spice."
Yoichi Single Malt,Yoichi,Japanese Whisky,Yoichi,Japanese Whisky,4.5,(28 Reviews),"(70cl, 45%)",74.90,0,,,
Glenfarclas 15 Year Old,Glenfarclas,Speyside Whisky,Glenfarclas,Scotch Whisky,4,(139 Reviews),"(70cl, 46%)",72.95,3,"Raisins, more sherry, orange peel, walnuts, dates.","Incredibly long, complex, more of the walnuts again.","Intense, powerful sherry. Cream sherry, certainly – Pedro Ximenez? almost… a touch of peppermint? An almost rancio quality to this. Smells older than 15."
Yamazaki Single Malt Whisky - Distiller’s Reserve,Yamazaki,Japanese Whisky,Yamazaki,Japanese Whisky,4,(141 Reviews),"(70cl, 43%)",66.95,0,"Nose: Classic Yamazaki strawberries and dried fruits with floral notes coming from the Mizunara cask whisky. Fragrant sandalwood and maybe coconut. Certainly a whisky where you could get lost in its nose!
Palate: The dried berries remain lively on the palate (it even develops some raspberry notes along the way), but they're dialled back a bit to make room for light oak, white peach and a small amount of spice.
Finish: Vanilla lasts and lasts, with spicy but sweet cinnamon acting as a final flourish.
Overall: Top quality Japanese whisky, and excellent value too. Can't go wrong with this, really.","Nose: Classic Yamazaki strawberries and dried fruits with floral notes coming from the Mizunara cask whisky. Fragrant sandalwood and maybe coconut. Certainly a whisky where you could get lost in its nose!
Palate: The dried berries remain lively on the palate (it even develops some raspberry notes along the way), but they're dialled back a bit to make room for light oak, white peach and a small amount of spice.
Finish: Vanilla lasts and lasts, with spicy but sweet cinnamon acting as a final flourish.
Overall: Top quality Japanese whisky, and excellent value too. Can't go wrong with this, really.","Nose: Classic Yamazaki strawberries and dried fruits with floral notes coming from the Mizunara cask whisky. Fragrant sandalwood and maybe coconut. Certainly a whisky where you could get lost in its nose!
Palate: The dried berries remain lively on the palate (it even develops some raspberry notes along the way), but they're dialled back a bit to make room for light oak, white peach and a small amount of spice.
Finish: Vanilla lasts and lasts, with spicy but sweet cinnamon acting as a final flourish.
Overall: Top quality Japanese whisky, and excellent value too. Can't go wrong with this, really."
Glenmorangie Signet,Glenmorangie,Scotch Whisky,Glenmorangie,Scotch Whisky,4.5,(126 Reviews),"(70cl, 46%)",179.99,14,"Nose: The nose begins with chocolate raisins and sugared mixed peels. Toasted spices, bread and butter pudding and golden syrup complement these aromas, while a note of Angostura bitters lingers beneath.
Palate: Sweet, syrupy cinnamon and drying malt lead, before a suggestion of Terry's Chocolate Orange rises. A hint of lime rind is present, as are lychees and dates. The backdrop is filled with tobacco leaves and freshly roasted espresso beans, with a little honey-roasted cashew.
Finish: The finish dries and becomes pleasantly rubbery, as a touch of truffle oil emerges.
Overall: Utterly superb.","Nose: The nose begins with chocolate raisins and sugared mixed peels. Toasted spices, bread and butter pudding and golden syrup complement these aromas, while a note of Angostura bitters lingers beneath.
Palate: Sweet, syrupy cinnamon and drying malt lead, before a suggestion of Terry's Chocolate Orange rises. A hint of lime rind is present, as are lychees and dates. The backdrop is filled with tobacco leaves and freshly roasted espresso beans, with a little honey-roasted cashew.
Finish: The finish dries and becomes pleasantly rubbery, as a touch of truffle oil emerges.
Overall: Utterly superb.","Nose: The nose begins with chocolate raisins and sugared mixed peels. Toasted spices, bread and butter pudding and golden syrup complement these aromas, while a note of Angostura bitters lingers beneath.
Palate: Sweet, syrupy cinnamon and drying malt lead, before a suggestion of Terry's Chocolate Orange rises. A hint of lime rind is present, as are lychees and dates. The backdrop is filled with tobacco leaves and freshly roasted espresso beans, with a little honey-roasted cashew.
Finish: The finish dries and becomes pleasantly rubbery, as a touch of truffle oil emerges.
Overall: Utterly superb."
Glenfarclas 25 Year Old,Glenfarclas,Scotch Whisky,Glenfarclas,Scotch Whisky,4,(89 Reviews),"(70cl, 43%)",225,2,"Nose: A touch of menthol. Classic Sherry notes, less pronounced than the 15 year old perhaps, but the complexity is greater.
Palate: Incredibly clean central palate, but amazingly tangy. Really zingy top notes. Sherry and creamy barley, hints of gingerbread and nutty chocolate.
Finish: Very, very long and complex finish, oak-rich, hints of smoke, cocoa, buttery...
Overall: One of our all-time favourite Speyside malts.","Nose: A touch of menthol. Classic Sherry notes, less pronounced than the 15 year old perhaps, but the complexity is greater.
Palate: Incredibly clean central palate, but amazingly tangy. Really zingy top notes. Sherry and creamy barley, hints of gingerbread and nutty chocolate.
Finish: Very, very long and complex finish, oak-rich, hints of smoke, cocoa, buttery...
Overall: One of our all-time favourite Speyside malts.","Nose: A touch of menthol. Classic Sherry notes, less pronounced than the 15 year old perhaps, but the complexity is greater.
Palate: Incredibly clean central palate, but amazingly tangy. Really zingy top notes. Sherry and creamy barley, hints of gingerbread and nutty chocolate.
Finish: Very, very long and complex finish, oak-rich, hints of smoke, cocoa, buttery...
Overall: One of our all-time favourite Speyside malts."
Balvenie DoubleWood 12 Year Old,Balvenie,Speyside Whisky,Balvenie,Scotch Whisky,4,(242 Reviews),"(70cl, 40%)",46.99,11,"Sweet with good body. The bourbon characters develop; gentle spice with a little vanilla, a hint of balancing peat lurking quietly in the substrata. Dried fruit too, combining with nuts, nutmeg, cinnamon, back into the bourbon notes - so well integrated.","Spicy, slightly drying, still sweet.","Gristy, supple nuttiness intertwined with spices. Honeyed sultanas and grapes. Hugely inviting."
The Sassenach Blended Scotch Whisky,The Sassenach,Scotch Whisky,The Sassenach,Scotch Whisky,5,(267 Reviews),"(70cl, 46%)",79.95,4,,,
Lagavulin Distillers Edition - 2022 Collection,Lagavulin,Islay Whisky,Lagavulin,Scotch Whisky,4.5,(2 Reviews),"(70cl, 43%)",89.99,0,"Coastal smoke, with some salted toffee, and more sherry character.","Oaky spices linger, with lingering peat.","Large helpings of peat are joined by dried fruit, raisins, and some vanilla sweetness."
